id,topic,grade,grade_label,citation,doi,url,doi_url,population,altitude,exposure,design,effect,limitations,relevance
E01,high_intensity_running,soccer_youth,Soccer — YOUTH players,"Aughey RJ, Hammond K, Varley MC, Schmidt WF, Bourdon PC, Buchheit M et al. 2013, Br J Sports Med (ISA3600)",10.1136/bjsports-2013-092776,,https://doi.org/10.1136/bjsports-2013-092776,20 Australian U17 (sea-level natives) and 19 Bolivian U20 (altitude natives) elite youth soccer players,"430 m vs 3600 m (La Paz), terrestrial",3 matches over 13 days at 3600 m,"Prospective field study, GPS match activity profile",Total distance per minute reduced by a small magnitude in the first match at altitude in BOTH teams; peak 5-min distance reduced in every altitude match vs near sea level; reduction larger (small ES) in Australians than Bolivians in game 4; no clear team difference in maximal accelerations.,"Youth players; only 5 matches; effect-size language ('small', 'moderate') rather than % values in abstract; Bolivians had just descended then re-ascended.",Stamina / high-intensity running. Key: neither 13 days of acclimatisation nor lifelong residence fully protected match running.
E02,acclimatization_timecourse,soccer_youth,Soccer — YOUTH players,"Buchheit M, Simpson BM, Garvican-Lewis LA, Hammond K, Kley M, Schmidt WF et al. 2013, Br J Sports Med (ISA3600)",10.1136/bjsports-2013-092749,,https://doi.org/10.1136/bjsports-2013-092749,Same ISA3600 cohorts (Australian U17 vs Bolivian U20),3600 m terrestrial,2-week camp; Yo-Yo IR1 and 20 m sprint near sea level and on days 3 and 10,"Prospective field study; wellness questionnaires, HR, HRV, Yo-Yo IR1, 20 m sprint",Australians: moderate-to-large impairment in wellness and Yo-Yo IR1 on arrival relative to Bolivians; acclimatisation substantially slower in Australians; only Bolivians regained near sea-level high-intensity running by camp end. BOTH teams had moderately impaired 20 m sprint at end of camp.,Youth; no % values in abstract; 20 m sprint decline may reflect fatigue/detraining rather than altitude per se.,Acclimatisation time course: 2 weeks insufficient for sea-level natives at 3600 m; single-sprint speed did NOT improve at altitude in this study.
E03,high_intensity_running,soccer_youth,Soccer — YOUTH players,"Garvican LA, Hammond K, Varley MC, Gore CJ, Billaut F, Aughey RJ 2014, Int J Sports Physiol Perform",10.1123/ijspp.2012-0375,,https://doi.org/10.1123/ijspp.2012-0375,20 elite youth soccer players (sea-level natives),1600 m terrestrial,Matches on day 4 and day 6 at altitude; submaximal HR test daily for 10 d,"Prospective field study, GPS; effect sizes with 90% CI","Day 4 at 1600 m (Denver): total distance -9%, low-velocity running -8%, high-velocity running -15% vs sea-level matches (percentages as summarised by Billaut & Aughey 2013, E31; abstract reports ES -0.76 ± 0.37 for total distance and -0.47 ± 0.59 for high-velocity running). Day 6: total distance still reduced (ES -0.42), high-velocity running no clear effect (ES -0.08). Submaximal HR +5.4% on day 1, back to baseline by day 5.",Youth; single team; effect sizes not % of distance; no unacclimatised day-1 match.,Even 1600 m reduces match running for ~6 days; HR (a proxy of acute strain) normalises in ~5 days.
E04,high_intensity_running,soccer_pro,Soccer — professional/senior,"Nassis GP 2013, J Strength Cond Res",10.1519/jsc.0b013e31825d999d,,https://doi.org/10.1519/jsc.0b013e31825d999d,"Professional national teams, 2010 FIFA World Cup (South Africa)","0, 660, 1200-1400, 1401-1753 m terrestrial",Tournament matches; acclimatisation status not controlled,Retrospective analysis of official FIFA match statistics; one-way ANOVA,Total distance covered 3.1% lower in matches at 1200-1400 m and 1401-1753 m vs sea level (p<0.05). Goals per game and goalkeeper errors leading to goals did not differ with altitude.,"Observational; venue, opponent and heat confounded with altitude; team quality not controlled; only crude technical indices.",Best professional-level match evidence for a small stamina cost at ~1500 m; no detectable technical cost at that altitude.
E05,high_intensity_running,soccer_amateur,Soccer — amateur/collegiate,"Bohner JD, Hoffman JR, McCormack WP et al. 2015, J Hum Kinet",10.1515/hukin-2015-0070,,https://doi.org/10.1515/hukin-2015-0070,6 NCAA Division I female soccer players,1839 m terrestrial vs sea level,Single match at altitude (retrospective),Retrospective GPS comparison (2 sea-level matches vs 1 altitude match),High-intensity running reduced at 1839 m (direction reported; magnitude not retrieved from abstract in this session).,"n=6, single match, female collegiate; magnitude not extracted.",Supports direction of stamina cost at moderate altitude in a different population.
E06,residency_adaptation,soccer_youth,Soccer — YOUTH players,"Wachsmuth N, Kley M, Spielvogel H, Aughey RJ, Gore CJ, Bourdon PC et al. 2013, Br J Sports Med (ISA3600)",10.1136/bjsports-2013-092761,,https://doi.org/10.1136/bjsports-2013-092761,"ISA3600 cohorts: 20 Australian, 19 Bolivian youth players",430 m and 3600 m terrestrial,13 days at 3600 m,"Prospective; CO-rebreathing Hb mass, blood gases, Yo-Yo IR1","Baseline Hb mass higher in Bolivians (12.8 ± 0.8 g/kg) than Australians (11.6 ± 0.7 g/kg). Australians: Hb mass +3.0 ± 2.7% after 12 d; blood volume fell ~400 mL in both teams; PaO2, SaO2 and arterial O2 content fell within 2 h of arrival then partly recovered. Yo-Yo IR1 lower on day 3 than day 10 and related to arterial O2 content. Bolivians' [Hb] fell at sea level (16.6 vs 18.2 g/dL) but Hb mass unchanged.",Youth; 12 days 'insufficient to reach chronic levels of adaptation'.,"Mechanism for acclimatisation (plasma-volume loss then slow Hb-mass gain) and for the residents' advantage (10% higher Hb mass). Argues against 'fly-in, fly-out'."
E07,recovery,soccer_youth,Soccer — YOUTH players,"Roach GD, Schmidt WF, Aughey RJ, Bourdon PC, Soria R, Claros JCJ et al. 2013, Br J Sports Med (ISA3600)",10.1136/bjsports-2013-092843,,https://doi.org/10.1136/bjsports-2013-092843,14 Australian U17 (sea-level) and 12 Bolivian U20 (altitude natives),430 m vs 3600 m,13 nights at 3600 m; actigraphy,Prospective field study,"Australians: shorter, poorer sleep on first night at altitude; quality normal by end of week 1, quantity still not back to normal after 2 weeks. Bolivians: sleep similar or better at altitude than at sea level.",Youth; actigraphy only; small n.,Recovery between matches/training is impaired for sea-level natives for at least 1-2 weeks; residents unaffected.
E08,recovery,soccer_youth,Soccer — YOUTH players,"Sargent C, Schmidt WF, Aughey RJ, Bourdon PC, Soria R, Claros JCJ et al. 2013, Br J Sports Med (ISA3600)",10.1136/bjsports-2013-092829,,https://doi.org/10.1136/bjsports-2013-092829,10 Australian U17 players,3600 m,"Polysomnography on arrival, 1 week, 2 weeks","Prospective, effect-size statistics","REM sleep lower on arrival, similar to baseline after 2 weeks. Hypopnoeas/desaturations higher on all altitude nights; 50% of players had impaired breathing during sleep that did not improve.","n=10, youth, no control group.",Large individual variability: half the squad had disordered breathing in sleep.
E09,individual_variability,other_team_sport,Other team sport,"McLean BD, Buttifant D, Gore CJ, White K, Kemp J 2013, Br J Sports Med",10.1136/bjsports-2013-092744,,https://doi.org/10.1136/bjsports-2013-092744,32 elite Australian Football players,~2100 m terrestrial camps,"18-19 days, two camps one year apart",Repeated-measures; CO-rebreathing Hb mass,Hb mass +3.6 ± 1.6% (camp 1) and +4.4 ± 1.3% (camp 2); individual responsiveness ~half the group mean; same players did not respond consistently year to year (r=0.21).,"Australian Football, not soccer; training camp not competition.",Individual variability is large and not a fixed trait; do not assume equal acclimatisation across a squad.
E10,match_outcomes,soccer_pro,Soccer — professional/senior,"McSharry PE 2007, BMJ",10.1136/bmj.39393.451516.ad,,https://doi.org/10.1136/bmj.39393.451516.ad,"1460 international matches, 10 South American nations, 1900-2004",Venue altitude difference up to 3695 m,Not applicable (match results),"Statistical analysis of match results (win probability, goals for/against vs altitude difference)","Each 1000 m of altitude difference increased goal difference by ~0.5 goal in favour of the higher team. Probability of home win 0.537 for equal-altitude teams vs 0.825 for a 3695 m difference (e.g., Bolivia v Brazil).","Match results cannot separate altitude physiology from home advantage, travel, crowd, team quality or tactics. Chumacero 2009 (E11) found no significant effect after controlling for team quality.",Headline 'altitude advantage' estimate; treat as upper bound of combined home + altitude effects.
